T001|E001|E001,E011,E012,E013,E014,E015,E016,E017,E018,E019
T002|E002|E002,E020,E021,E022,E023,E024,E025,E026,E027,E028
T003|E003|E003,E029,E030,E031,E032,E033,E034,E035,E036,E037
T004|E004|E004,E038,E039,E040,E041,E042,E043,E044,E045,E046
T005|E005|E005,E047,E048,E049,E050,E051,E052,E053,E054,E055,E056
T006|E006|E006,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066
T007|E007|E007,E067,E068,E069,E070,E071,E072,E073,E074,E075,E076
T008|E008|E008,E077,E078,E079,E080,E081,E082,E083,E084,E085,E086
T009|E009|E009,E087,E088,E089,E090,E091,E092,E093,E094,E095,E096
T010|E010|E010,E097,E098,E099,E100
